"Original URL","Tracking ID","Tracking URL","Error Notes"
"https://www.aliexpress.com/item/1005006012781837.html","Atlas-web","https://s.click.aliexpress.com/e/_c3tU5gJp",
"https://www.aliexpress.com/item/1005006036563565.html","Atlas-web","https://s.click.aliexpress.com/e/_c3ELWOCj",
"https://www.aliexpress.com/item/1005008172728192.html","Atlas-web","https://s.click.aliexpress.com/e/_c3NbO1Qj",
"https://www.aliexpress.com/item/1005010151336476.html","Atlas-web","https://s.click.aliexpress.com/e/_c3ouwEaB",
"https://www.aliexpress.com/item/4001297281637.html","Atlas-web","https://s.click.aliexpress.com/e/_c3UPef7H",
"https://www.aliexpress.com/item/1005005737742955.html","Atlas-web","https://s.click.aliexpress.com/e/_c3ftHA0L",
"https://www.aliexpress.com/item/1005005956163255.html","Atlas-web","https://s.click.aliexpress.com/e/_c4k4AURv",
"https://www.aliexpress.com/item/1005003727030683.html","Atlas-web","https://s.click.aliexpress.com/e/_c41CYt8f",
"https://www.aliexpress.com/item/1005001620967213.html","Atlas-web","https://s.click.aliexpress.com/e/_c3HzkHrV",
"https://www.aliexpress.com/item/1005011624777735.html","Atlas-web","https://s.click.aliexpress.com/e/_c2RFBPLz",
"https://www.aliexpress.com/item/1005011986090974.html","Atlas-web","https://s.click.aliexpress.com/e/_c30zHwc3",
"https://www.aliexpress.com/item/1005011652025777.html","Atlas-web",,"Non-affiliate items can't be used to generate links, please try another one."
"https://www.aliexpress.com/item/1005012009831951.html","Atlas-web",,"Non-affiliate items can't be used to generate links, please try another one."
"https://www.aliexpress.com/item/1005003338096182.html","Atlas-web","https://s.click.aliexpress.com/e/_c2xzPObh",
"https://www.aliexpress.com/item/1005010768830892.html","Atlas-web","https://s.click.aliexpress.com/e/_c2Qia7fz",
"https://www.aliexpress.com/item/1005008170738453.html","Atlas-web","https://s.click.aliexpress.com/e/_c4Bf8vgB",
"https://www.aliexpress.com/item/1005008596859041.html","Atlas-web","https://s.click.aliexpress.com/e/_c3WAMBZp",
"https://www.aliexpress.com/item/1005004922876166.html","Atlas-web","https://s.click.aliexpress.com/e/_c3oeFmfv",
"https://www.aliexpress.com/item/1005005759723525.html","Atlas-web","https://s.click.aliexpress.com/e/_c4VKW2n1",
"https://www.aliexpress.com/item/1005007387509167.html","Atlas-web","https://s.click.aliexpress.com/e/_c3apNqUT",
"https://www.aliexpress.com/item/1005009484298757.html","Atlas-web","https://s.click.aliexpress.com/e/_c3lkm5tD",
"https://www.aliexpress.com/item/1005006099598522.html","Atlas-web","https://s.click.aliexpress.com/e/_c3Vv7ktd",
"https://www.aliexpress.com/item/4000933550120.html","Atlas-web","https://s.click.aliexpress.com/e/_c436cFEb",
"https://www.aliexpress.com/item/1005006624312209.html","Atlas-web","https://s.click.aliexpress.com/e/_c3sez4l9",
"https://www.aliexpress.com/item/1005007974867355.html","Atlas-web",,"Non-affiliate items can't be used to generate links, please try another one."
"https://www.aliexpress.com/item/1005006345368259.html","Atlas-web","https://s.click.aliexpress.com/e/_c4LRHtgf",
"https://www.aliexpress.com/item/1005003049012312.html","Atlas-web","https://s.click.aliexpress.com/e/_c4Bnr8DV",
"https://www.aliexpress.com/item/1005009595198163.html","Atlas-web","https://s.click.aliexpress.com/e/_c42EC6yF",
"https://www.aliexpress.com/item/1005006955187109.html","Atlas-web","https://s.click.aliexpress.com/e/_c3SRA3a3",
"https://www.aliexpress.com/item/1005008878618165.html","Atlas-web","https://s.click.aliexpress.com/e/_c4OUjDyX",
"https://www.aliexpress.com/item/1005006943108856.html","Atlas-web","https://s.click.aliexpress.com/e/_c4cZZs5N",
"https://www.aliexpress.com/item/1005008517377656.html","Atlas-web","https://s.click.aliexpress.com/e/_c2vL6m3Z",
"https://www.aliexpress.com/item/1005008205688527.html","Atlas-web","https://s.click.aliexpress.com/e/_c426NuU7",
"https://www.aliexpress.com/item/1005005567682818.html","Atlas-web","https://s.click.aliexpress.com/e/_c3qXSZtD",
"https://www.aliexpress.com/item/1005007729760231.html","Atlas-web","https://s.click.aliexpress.com/e/_c31S3Yl9",
"https://www.aliexpress.com/item/1005007144734548.html","Atlas-web",,"Non-affiliate items can't be used to generate links, please try another one."
